customer_id,customer_name,email,signup_date
1,Michael Moreno,lopezjulie@hotmail.com,2024-01-25
2,Sarah Hamilton,katherine24@curtis.com,2024-03-17
3,Kimberly Castro,cgonzalez@hotmail.com,2025-06-21
4,Brad Montgomery,marissa05@sims.com,2024-07-27
5,Robert Cook,james59@cain.biz,2024-08-01
6,Jason King,angela79@howe-gardner.info,2024-01-16
7,Paul Brandt,millerbrittany@adams.com,2024-07-26
8,Jamie Sanders,mitchellluis@gmail.com,2025-02-26
9,Sarah Johnson,spittman@gmail.com,2025-04-24
10,Alison Oliver,osbornlisa@gmail.com,2025-03-07
11,Katherine Fowler,garciajulie@winters.com,2025-01-04
12,Alex Jenkins,zjames@martinez.com,2025-06-16
13,Tina Harvey,colin02@williams.net,2025-06-24
14,Brianna White,lisa45@nelson.com,2025-05-23
15,Kim Kramer,jbrown@wilcox.com,2023-11-14
16,Tina Cannon,zjones@yahoo.com,2024-06-04
17,Olivia Davis,xphillips@hotmail.com,2025-02-05
18,Troy Robinson,pkim@yahoo.com,2024-07-30
19,Daniel Hamilton,lindajohnson@hotmail.com,2024-06-07
20,Blake Hines,janice77@hotmail.com,2024-05-22
21,Megan Delacruz,karen58@hotmail.com,2025-03-19
22,David Graham,nshepherd@lee.com,2024-08-11
23,Bianca Bird,roberto06@hotmail.com,2024-11-29
24,Shawn Lang,jeffreywoodard@shea.com,2023-11-08
25,Robert Williams,brewertami@price-robertson.info,2024-02-12
26,Jacob Miller,qhicks@yahoo.com,2025-03-19
27,Sara Edwards,scrosby@lee.net,2024-01-06
28,Michael Barrett,sonyamiller@andrews.org,2024-07-09
29,Maria Ewing,gutierrezalexis@hotmail.com,2023-10-20
30,Carl Contreras,vleon@hotmail.com,2023-08-09
31,April Simpson,ryan51@hotmail.com,2025-06-16
32,Stephen Russell,brettrodriguez@yahoo.com,2024-08-28
33,Alan Thomas,ryanmyers@bell.com,2023-10-31
34,Martin Smith,ireed@hotmail.com,2025-03-11
35,Thomas Barry,raymondferguson@kirby-price.com,2024-09-24
36,Kyle Davis,tracy01@weaver.com,2023-12-21
37,James Allen,nicholerasmussen@guzman.com,2024-02-16
38,Amanda Singh,onealgabriel@orr.biz,2023-11-27
39,Joseph Friedman,shannon66@gmail.com,2024-09-20
40,Victoria Simon,theresapineda@shelton.com,2023-08-06
41,Lindsay Sharp,whitneyhansen@mcgrath-fuller.info,2025-06-03
42,Zachary Hall,bensonluis@hotmail.com,2024-11-17
43,David Smith,imcdonald@colon-hernandez.com,2025-03-17
44,Judith Allen,rebekahsparks@moore.com,2024-09-27
45,Daniel Gonzalez,dbaker@foster.biz,2024-12-31
46,Nicole Barton,jeffrey23@yahoo.com,2024-03-21
47,Samantha Gutierrez,masondakota@barrera.com,2025-01-14
48,Louis Davis,eileen73@hotmail.com,2024-03-10
49,Jason Pena,glassmisty@gmail.com,2024-06-10
50,Vanessa Powell,gwendolynholder@sims.com,2025-06-09
